No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch,TechStacks,Tags,ContentSummary
1,マイ国家シミュレーター,https://zenn.dev/tmkst/articles/4515c6dc4ed28b,個人,5,2,True,200,「マイ国家シミュレーター」は、仮想国家の統治者となりAIと対話しながら国を運営し、政治や社会の仕組みを楽しく学べる教育型ゲームアプリです。Google CloudのVertex AIを活用し、多様な市民の声やリアルな政策シナリオを体験可能。政治や社会が難しく感じる中高生や一般ユーザーに、自分ごととして主体的に学ぶ環境を提供します。学校やワークショップでの教材としても活用でき、ゲームの面白さとAIによる臨場感を融合した新しい学びの形を目指します。,False,,,False,"[""React"", ""TypeScript"", ""Node.js"", ""Google Cloud Platform"", ""Cloud Run"", ""Cloud Functions"", ""Vertex AI""]","[""教育"", ""政治シミュレーション"", ""ゲーム開発"", ""生成AI"", ""Google Cloud""]",仮想国家の統治者となり、AIとの対話を通じて政策決定や国運営を体験できる教育型シミュレーションアプリ。ゲーム感覚で政治や社会の仕組みを学べることを目的とし、Vertex AIによるリアルな市民の声や政策シナリオを提供する。
2,Kakuti,https://zenn.dev/ianmeng/articles/9ea26b6d0baa20,個人,3,0,True,200,Kakutiは、効率化ではなく理解の深化を重視する「AI知識パートナー」です。PDFやMarkdownの管理・編集、全文検索、ハイライトや翻訳、RAGによるAI対話を統合。読む・書く・問い直す体験を支援し、知識の内面化と成長を促します。さらに、選択範囲を直感的に指定できるMagic Wand機能を開発中で、論文や資料の探索をより自由にします。ローカル優先設計とプラガブルなLLM/埋め込みに対応し、学習と創造の循環を加速します。,False,,,False,"[""Vite"", ""React"", ""FastAPI"", ""SQLite"", ""PostgreSQL"", ""pgvector"", ""オブジェクトストレージ"", ""GitHub Actions"", ""GitHub Pages"", ""YouTube""]","[""ナレッジ管理"", ""教育"", ""RAG"", ""個人学習"", ""研究支援""]",KakutiはPDFやMarkdownを中心に、読む・考える・書き留める学習体験を再設計する個人向けナレッジプラットフォームです。AIを理解を深める伴走者として活用し、注釈、翻訳、RAG型Q&Aにより学習と知識定着を支援します。
3,A2A+MCPを使用したデータガバナンス自動化システム,https://zenn.dev/phper8080/articles/b6034eb0aba907,個人,5,1,True,200,"日本企業の97%がデータ活用で十分な成果を上げられていない課題に対し、最新のA2A（Agent-to-Agent）とMCP（Model Context Protocol）技術を活用したデータガバナンス自動化システムを開発しました。
BigQueryテーブルのメタデータ不足を自動検出し、AIが適切な論理名・説明を提案。さらに統計情報に基づく品質ルールを自動生成し、ガバナンススコアで総合評価します。親エージェントが2つの専門エージェント（BigQuery・Dataplex）を協調制御し、MCPサーバー経由でGoogle Cloudと連携。
従来170時間かかっていた品質管理業務を大幅削減し、年間374万円の効果が期待できます。",False,,,False,"[""Google Cloud Run"", ""BigQuery"", ""Google Cloud IAM"", ""Identity-Aware Proxy (IAP)"", ""OIDC"", ""VPC Service Controls"", ""Google ADK"", ""FastAPI"", ""FastAPI-MCP"", ""Chainlit"", ""Python 3.12"", ""Debian 12"", ""YouTube""]","[""データガバナンス"", ""マルチエージェント"", ""クラウドアーキテクチャ"", ""データ品質"", ""DX推進""]",本プロジェクトは、A2AとMCPを活用したマルチエージェント構成により、BigQueryのメタデータ管理や品質評価を自動化するデータガバナンス支援システムです。Google Cloud上で稼働し、AIによるメタデータ提案や品質ルール策定を通じて、DX時代の効率的なデータ活用基盤構築を支援します。
4,ピクプロ！〜Picture Prompt Game〜,https://zenn.dev/hal1986/articles/20250920-hackathon-v3,個人,1,0,True,200,AIが作成したお手本の絵を見て、「お題の絵にできるだけ近い絵を出力させるプロンプト」を考えるゲームです。対戦形式でゲームを楽しみながら、プロンプトの試行錯誤を繰り返すことで、AIに与える「プロンプトのより良い形」を学ぶことが出来ます。また、老若男女の誰でも気軽に参加できるゲームなので、コミュニケーションの促進も図れます。,False,,,False,"[""Next.js 15"", ""TypeScript"", ""Tailwind CSS"", ""Firebase Authentication"", ""Cloud Firestore"", ""Cloud Functions"", ""Cloud Storage"", ""Google Genkit"", ""Vertex AI Imagen 4.0""]","[""AIゲーム"", ""プロンプトエンジニアリング"", ""教育"", ""パーティーゲーム"", ""画像生成AI""]",「ピクプロ！」は、AIが生成したお手本画像を再現するプロンプト作成力を競う対戦型パーティーゲームです。絵を描く技術が不要で、年齢や経験を問わず楽しみながらプロンプトエンジニアリングと創造性を学べる点が特徴です。
5,AICCA(AI Content Credibility Agent),https://zenn.dev/hongbod/articles/316f27826c17ed,個人,5,0,True,200,AICCA（AI Content Credibility Agent）は、AI生成コンテンツの信頼性を検証する専門エージェントシステムです。テキスト・画像・動画を対象に真偽を判定し、ディープフェイクを含むAI生成コンテンツを高精度で検出します。ReActアーキテクチャを採用し、Sapling、C2PA、Google Vision APIなど複数の検証ツールを統合して総合的な分析を実現しています。さらにリアルタイムWebSocket通信により即座に結果を表示。情報の真偽が問われる現代において、信頼性を科学的に評価し、デジタル情報の透明性向上に貢献します。,False,,,False,"[""Google Cloud Run"", ""Gemini API"", ""Next.js"", ""WebSocket"", ""Google Vision API"", ""Sapling API"", ""c2pa-python"", ""C2PA"", ""ReAct (Reasoning + Acting)"", ""DeepFake検出エンジン""]","[""AIエージェント"", ""ディープフェイク対策"", ""コンテンツ信頼性"", ""セキュリティ"", ""広報・メディア""]",AICCAは、画像や動画、文章などのコンテンツに対し、複数の検証ツールをAIエージェントが自律的に使い分けて真偽を判定する信頼性検証システムです。DeepfakeやAI生成物が氾濫する時代に、企業やメディアが安心して情報を扱える環境を提供します。
6,おはなしまもりん,https://zenn.dev/myapp/articles/f84850bd55dc70,チーム: おはなしまもりん制作チーム,3,0,True,200,AI読み聞かせアプリ『おはなし まもりん』は、子育て中の「目が離せない」不安を解消し、「親子のあんしん時間」を創出します。動画の手軽さと読み聞かせの温かさを両立し、AIが子どもの名前や好きなものに合わせたオリジナル物語を生成・読み聞かせすることで、親子の共創体験を促します。音声中心のデザインとアクセシビリティへの配慮により、親の負担を軽減しながら、自然なコミュニケーションを深める新しい子育ての形を提案します。,False,,,False,"[""OpenAI GPT-4"", ""OpenAI DALL·E"", ""Next.js"", ""React"", ""Node.js"", ""Web Speech API"", ""Google Cloud Text-to-Speech"", ""Supabase"", ""Vercel""]","[""子育て"", ""AI読み聞かせ"", ""教育"", ""アクセシビリティ"", ""プロダクト開発""]",このプロジェクトは、AIが音声とイラスト付きの物語を自動生成する読み聞かせアプリ『おはなし まもりん』を通じて、子育て中の親の不安や負担を軽減し、親子の安心で温かなコミュニケーション時間を創出することを目的としています。動画依存と読み聞かせ負担のトレードオフを解消する新しい体験を提供します。
7,AdCraft AI,https://zenn.dev/oharu121/articles/61afd3a6f63103,個人,4,4,True,200,"商品画像から自動でコマーシャル動画を生成するAIマルチエージェントシステム。商品インテリジェンス、クリエイティブディレクター、ビデオプロデューサーの3つのAIエージェントが連携し、商品の特徴を分析→創造的なコンセプトを構築→高品質な動画を制作。Google Cloud Vertex AI (Gemini Pro Vision, Imagen, Veo API)を活用し、従来数日かかる動画制作を数分で実現。EC事業者の広告制作コストを大幅削減し、効果的なマーケティング動画の民主化を目指します。",False,,,True,"[""Next.js 15"", ""TypeScript"", ""Tailwind CSS"", ""Zustand"", ""Google Vertex AI Gemini Pro Vision"", ""Google Veo 3 API"", ""Google Imagen API"", ""Google Cloud Run"", ""Google Cloud Storage"", ""Firestore""]","[""動画生成"", ""マルチエージェントAI"", ""広告・マーケティング"", ""生成AI"", ""Google Cloud""]",AdCraft AIは、商品画像1枚から高品質なコマーシャル動画を自動生成するマルチエージェントAIシステムです。商品分析、映像戦略設計、動画生成を専門エージェントが分担し、従来高コスト・長期間だった動画制作を誰でも迅速かつ低負荷で実現します。
8,多国語版労働安全ナビゲーター,https://zenn.dev/shogonohito/articles/0e2a85773e1a8d,個人,4,1,True,200,"大型プラント建設などで働く、安価な労働力と言われているアジア圏の作業者の労働災害は後を絶たず、施主であるプラント企業などの賠償、レピュテーションリスクを下げる必要があります。
本プロジェクトは、ベンガル語を含む4か国語で、その日行う作業の注意点および対策を動画と画像を含めてわかりやすく作業員に提示することで、安全行動の実施および災害の防止に寄与するものです。",False,,,False,"[""Node.js 22"", ""Playwright"", ""Puppeteer"", ""Vertex AI"", ""@google/genai"", ""Gemini 2.5 Flash"", ""Gemini 2.5 Pro"", ""Gemini Embedding"", ""Veo 3"", ""Imagen 4"", ""Cloud Run"", ""Cloud Run Functions"", ""Firestore"", ""Firebase Authentication"", ""Cloud Storage""]","[""労働安全"", ""生成AI"", ""多国語対応"", ""業務支援ツール"", ""建設・プラント"", ""AIエージェント""]",多国籍な作業員が働く建設・プラント現場向けに、生成AIを活用して作業内容からリスクと安全対策を提示する労働安全ナビゲーターを開発。公的データや過去事故を基に、多言語・スマホ対応で朝会やTBMを支援する。
9,MAsterpIece（マスターピース）,https://zenn.dev/tea_py/articles/236d753168681e,個人,2,1,True,200,"「名作」と呼ばれる本は難しい、というイメージがあります。
「MAsterpIece」は、名作をより気軽に楽しんでもらうために、「探す」場面から「読む」場面まで、名作の読書を総合サポートするプロダクトです。
「探す」場面では、本プロダクト上での読書履歴を参考に、「司書エージェント」がおすすめの本を提案してくれます。
また、「読む」場面では、難しい表現を平易にしてくれる「ここだけ現代語訳」、読書中の様々な疑問に答える「解説エージェント」、シーンを絵にしてより楽しめる「挿絵を生成」、「動く挿絵を生成」の機能を利用できます。",False,,,False,"[""Google Gemini 2.5 Flash Lite"", ""Google ADK (Agent Development Kit)"", ""Google Cloud Run"", ""Vector Search"", ""Embedding Model"", ""SQL Database"", ""YouTube"", ""Web Search API"", ""Image Generation Model"", ""Video Generation Model""]","[""読書支援"", ""AIエージェント"", ""教育"", ""レコメンドシステム"", ""生成AI""]",MAsterpIeceは、日本の名作文学を気軽に楽しく読めるよう支援するAI読書アプリです。現代語訳、解説エージェント、挿絵や動画生成、司書エージェントによるレコメンド機能を通じ、読解や作品選びのハードルを下げます。
10,初めての子育てをAIがサポート｜Sukusuku,https://zenn.dev/mmol93/articles/3bc9849cb0af95,個人,2,0,True,200,すべての親御さんを支えるAI育児アシスタントアプリ「Sukusuku」です。従来のチャット型AIとは異なり、育児日記と赤ちゃんの生育情報を元に毎日の状態や育児日記の分析を毎日自動で行います。Vertex AIによる分析と、厚生労働省の乳幼児健診データをRAG技術で活用した科学的根拠に基づく総合評価を実施します。不足情報はGoogle Search機能で自動補完し、毎日育児専門家からアドバイスを受けているような安心感のある育児支援を提供します。,False,,,False,"[""Flutter"", ""Firebase Authentication"", ""Google Cloud Firestore"", ""Google Cloud Run"", ""Google Artifact Registry"", ""Google Vertex AI"", ""Cloud Scheduler"", ""RAG（Retrieval-Augmented Generation）"", ""Embedding（ベクトル検索）"", ""Firebase Cloud Messaging""]","[""子育て"", ""ヘルスケア"", ""RAG"", ""モバイルアプリ"", ""AIアシスタント""]",Sakusakuは、育児日記と子供の情報をもとにAIが毎日分析し、パーソナライズされた育児アドバイスを自動提供する育児支援アプリです。RAGにより公的データを活用し、忙しい親でも簡単に科学的で安心できるサポートを受けられます。
